WORK_ID,STATE_ID,STATE_NAME,CONSTITUENCY_ID,CONSTITUENCY,MP_ID,MP_NAME,WORK_CATEGORY,ACTIVITY_NAME,WORK_DESCRIPTION,WORK_STAGE,RECOMMENDED_AMOUNT,SANCTION_AMOUNT,TOTAL_FUND_DISBURSED_AMT,ACTUAL_AMOUNT,PAYMENT_COUNT,UNIQUE_VENDOR_COUNT,FIRST_EXPENDITURE_DATE,LAST_EXPENDITURE_DATE,ACTUAL_END_DATE,STAT_PEER_GROUP,STAT_PEER_COUNT,STAT_PEER_Q1,STAT_PEER_MEDIAN,STAT_PEER_Q3,STAT_PEER_IQR,STAT_LOO_PEER_MEAN_SANCTION,STAT_SANCTION_TO_PEER_MEDIAN,STAT_FINANCIAL_SCORE,STAT_PAYMENT_BEHAVIOR_SCORE,STAT_PAYMENT_SUBSIGNAL_COUNT,STAT_PAYMENT_CORROBORATION_BONUS,STAT_TIMELINE_SCORE,STAT_CATEGORY_COUNT,STAT_DIVERSITY_BONUS,STAT_SCORE,STAT_SEVERITY,STAT_TRIGGER_COUNT,STAT_STRONG_RULE_COUNT,STAT_VERIFICATION_FLAG_COUNT,STAT_CANDIDATE,STAT_FLAGS,STAT_REASONS,STAT_VERIFICATION_NOTES,STAT_SANCTION_ABOVE_PEER_IQR,STAT_SANCTION_EXTREME_PEER_IQR,STAT_SANCTION_ABOVE_5X_PEER_MEDIAN,STAT_PAYMENT_COUNT_OUTLIER,STAT_PAYMENT_COUNT_EXTREME,STAT_VENDOR_COUNT_OUTLIER,STAT_VENDOR_COUNT_EXTREME,STAT_PAYMENT_FREQUENCY_OUTLIER,STAT_PAYMENT_FREQUENCY_EXTREME,STAT_COMPLETION_DURATION_OUTLIER,STAT_COMPLETION_DURATION_EXTREME,STAT_LOW_DATA_COMPLETENESS
290011,5,Assam,41,KOKRAJHAR (ST),3042302,JOYANTA BASUMATARY,Normal/Others,NA-Construction of community centers and community halls,"Construction of Bodosa house near BSNL tower, Kajalgaon",Pending for Sanction,1860000.0,1860000.0,,,,,,,,Assam | Normal/Others | NA-Construction of community centers and community halls,294,250000.0,300000.0,500000.0,250000.0,513793.1034482759,6.2,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
301855,5,Assam,41,KOKRAJHAR (ST),3042302,JOYANTA BASUMATARY,Normal/Others,NA-Construction of boundary walls of existing public and community buildings,Construction of  981 Durgapur LP school boundary wall with iron gate under Borobazar Dev block,Pending for Sanction,1800000.0,1800000.0,,,,,,,,Assam | Normal/Others | NA-Construction of boundary walls of existing public and community buildings,58,300000.0,300000.0,500000.0,200000.0,497561.4035087719,6.0,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
230596,5,Assam,40,Kaziranga,3042301,KAMAKHYA PRASAD TASA,Normal/Others,NA-Construction of community centers and community halls,"Construction of Community Hall at Naharzan. G.P. Jamuguri. Block. Padumoni,Facilitator. Junaki Karmakar, 7099484676
",Pending for Sanction,2000000.0,2000000.0,,,,,,,,Assam | Normal/Others | NA-Construction of community centers and community halls,294,250000.0,300000.0,500000.0,250000.0,513310.3448275862,6.666666666666667,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
233086,5,Assam,40,Kaziranga,3042301,KAMAKHYA PRASAD TASA,Normal/Others,NA-Construction of boundary walls of existing public and community buildings,"Construction of Boundary Wall With Side Drain at the outer Periphery of the Geetashram Hojai, Vill. Pachim Dhaniram Pathar. G.P. Dhaniram Pathar, Block. Jogijan, Facilitator. Ashok Kejariwal, 9101018914",Pending for Sanction,2500000.0,2500000.0,,,,,,,,Assam | Normal/Others | NA-Construction of boundary walls of existing public and community buildings,58,300000.0,300000.0,500000.0,200000.0,485280.70175438595,8.333333333333334,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
310634,6,Bihar,61,JAHANABAD,3043221,SURENDRA PRASAD YADAV,Normal/Others,NA-Purchase of furniture and fixtures for educational purposes,Purchase and supply of 6 book shelves each (as per the specifications enclosed with attached letter) as furniture in 20 schools mentioned in the attached letter of Ghosi Block of Jehanabad district,Pending for Sanction,5000000.0,5000000.0,,,,,,,,Bihar | Normal/Others | NA-Purchase of furniture and fixtures for educational purposes,76,74000.0,217500.0,250000.0,176000.0,170200.0,22.988505747126435,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
279224,11,Delhi,102,WEST DELHI,3045896,Kamaljeet Sehrawat,Normal/Others,NA-Fitting of Sitting RCC Benches in Public Places,PROVIDING AND FIXING OF PRECAST RCC CHAIR BENCHES WITH ARM REST AT VARIOUS LOCATION IN VARIOUS WARDS UNDER THE JURISDICTION OF WEST DELH LOK SABHA,Pending for Sanction,7596000.0,7596000.0,,,,,,,,Delhi | Normal/Others | NA-Fitting of Sitting RCC Benches in Public Places,14,500000.0,856050.0,1139774.0,639774.0,1312989.0,8.873313474680216,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
313369,12,Goa,106,NORTH GOA,3018989,Shripad Yesso Naik,Normal/Others,"NA-Purchase of IT systems, including hardware and software for educational purposes",Requirement of 10Nos Projector 15 Nos Computers 2 nos interactive display with large TV 5 nos colored printers and 1 nos photocopier,Pending for Sanction,3393886.5,3393886.5,,,,,,,,"Goa | Normal/Others | NA-Purchase of IT systems, including hardware and software for educational purposes",11,268175.325,540000.0,718750.0,450574.675,558717.1199999999,6.284975,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
260649,27,Gujarat,125,AHMEDABAD WEST(SC),3042330,DINESHBHAI MAKWANA,Normal/Others,NA-Installing tube-wells and borewells,"Vraj vallabhpura ni Chali, India colony ward Tube wells water water percolating well work",Pending for Sanction,1000000.0,1000000.0,,,,,,,,Gujarat | Normal/Others | NA-Installing tube-wells and borewells,30,60000.0,150000.0,150000.0,90000.0,162241.37931034484,6.666666666666667,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
307395,27,Gujarat,132,BHARUCH,3018995,Mansukhbhai Dhanjibhai Vasava,Normal/Others,NA-Installing tube-wells and borewells,hanumanji mandir faliyamaa bore motor - 500000 ane water tank - 500000 nu kaam,Pending for Sanction,1000000.0,1000000.0,,,,,,,,Gujarat | Normal/Others | NA-Installing tube-wells and borewells,30,60000.0,150000.0,150000.0,90000.0,162241.37931034484,6.666666666666667,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
225601,27,Gujarat,130,CHHOTA UDAIPUR(ST),3042331,JASHUBHAI BHILUBHAI RATHVA,Normal/Others,NA-Fitting of Sitting RCC Benches in Public Places,White tiles Tikli wala Bankda ,Pending for Sanction,2520000.0,2520000.0,,,,,,,,Gujarat | Normal/Others | NA-Fitting of Sitting RCC Benches in Public Places,75,34400.0,34400.0,237500.0,203100.0,154263.7837837838,73.25581395348837,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
298415,27,Gujarat,110,MAHESANA,3042332,HARIBHAI PATEL,Normal/Others,NA-Fitting of Sitting RCC Benches in Public Places,RCC Benches in Different Public Places  under Mehsana municipal  area total bench no-629,Pending for Sanction,2200000.0,2200000.0,,,,,,,,Gujarat | Normal/Others | NA-Fitting of Sitting RCC Benches in Public Places,75,34400.0,34400.0,237500.0,203100.0,158588.1081081081,63.95348837209303,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
269987,27,Gujarat,128,RAJKOT,3042334,PARSHOTTAMBHAI RUPALA,Normal/Others,NA-Construction of boundary walls of existing public and community buildings,Compound  Wall at Muslim Kabrasthan,Pending for Sanction,2500000.0,2500000.0,,,,,,,,Gujarat | Normal/Others | NA-Construction of boundary walls of existing public and community buildings,35,250000.0,400000.0,500000.0,250000.0,349696.9696969697,6.25,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
292538,27,Gujarat,114,SURAT,3042335,MUKESHKUMAR CHANDRAKAANT DALAL,Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","For constructing a bituminous (asphalt) road from Halpativas through the Canal Road, connecting to the Kim Olpad Road in Kathodra Village, Taluka Olpad.",Pending for Sanction,2000000.0,2000000.0,,,,,,,,"Gujarat | Normal/Others | NA-Construction of roads, link roads, pathways or any other road with or without drainage system",712,200000.0,300000.0,400000.0,200000.0,301739.68705547653,6.666666666666667,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
292057,27,Gujarat,111,VALSAD(ST),3042337,DHAVAL LAXMANBHAI PATEL,Normal/Others,NA-Purchase of mobile water tankers,Purchase of tractor with mobile water tanker for drinking water supply and establishment of garbage collection & disposal system,Pending for Sanction,1500000.0,1500000.0,,,,,,,,Gujarat | Normal/Others | NA-Purchase of mobile water tankers,135,150000.0,150000.0,198850.0,48850.0,279430.22388059704,10.0,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
292063,27,Gujarat,111,VALSAD(ST),3042337,DHAVAL LAXMANBHAI PATEL,Normal/Others,NA-Purchase of mobile water tankers,Purchase of tractor with moblie water tanker for drinking water supply and establishment of garbage collection & disposal system,Pending for Sanction,1500000.0,1500000.0,,,,,,,,Gujarat | Normal/Others | NA-Purchase of mobile water tankers,135,150000.0,150000.0,198850.0,48850.0,279430.22388059704,10.0,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
